task,dataset,seed,final_normalized_reward,final_reward_std
hopper-medium-v2,hopper_medium_v2,42,102.40727232128677,0.7656971393335116
hopper-medium-v2,hopper_medium_v2,123,102.28793203116592,0.7435255438968927
